pais,confederacion,ranking,gf,gc,ganados,empatados,perdidos
Estados Unidos,CONCACAF,16,95,62,32,10,12
Mexico,CONCACAF,8,98,70,30,11,13
Canada,CONCACAF,19,70,68,18,9,13
Argentina,CONMEBOL,1,152,71,51,15,16
Brasil,CONMEBOL,2,143,66,48,18,15
Uruguay,CONMEBOL,13,117,75,36,14,16
Colombia,CONMEBOL,11,109,79,31,14,17
Chile,CONMEBOL,35,86,92,24,10,20
Ecuador,CONMEBOL,20,91,84,26,13,18
Peru,CONMEBOL,47,79,95,22,11,22
Paraguay,CONMEBOL,34,74,89,20,12,21
Bolivia,CONMEBOL,48,60,120,11,10,32
Francia,UEFA,2,149,68,49,17,14
Espana,UEFA,3,141,73,46,16,15
Inglaterra,UEFA,4,138,70,45,18,12
Alemania,UEFA,14,130,77,40,14,18
Italia,UEFA,15,126,69,39,17,15
Portugal,UEFA,7,129,71,42,19,14
Paises Bajos,UEFA,16,127,72,38,18,13
Belgica,UEFA,12,131,78,41,17,14
Croacia,UEFA,25,112,74,34,15,16
Serbia,UEFA,26,89,83,24,12,19
Suiza,UEFA,22,101,72,28,16,18
Dinamarca,UEFA,21,97,74,27,15,17
Marruecos,CAF,17,104,73,30,13,14
Senegal,CAF,9,96,76,29,12,16
Nigeria,CAF,24,90,80,25,13,17
Egipto,CAF,36,84,79,24,11,18
Japon,AFC,18,97,69,31,10,15
Corea del Sur,AFC,28,92,75,28,11,17
Australia,AFC,29,88,73,27,10,18
Iran,AFC,10,94,66,30,9,16
Arabia Saudita,AFC,46,76,88,19,10,21
Qatar,AFC,45,73,86,18,9,23
Costa Rica,CONCACAF,31,78,87,20,11,20
Panama,CONCACAF,30,80,82,22,12,19
Honduras,CONCACAF,44,67,94,16,10,24
Jamaica,CONCACAF,43,69,90,17,11,22
Venezuela,CONMEBOL,33,77,86,21,10,21
Turquia,UEFA,32,93,85,25,12,18
Grecia,UEFA,37,78,84,21,10,19
Polonia,UEFA,27,99,88,27,11,19
Austria,UEFA,23,95,77,28,13,16
Ucrania,UEFA,38,90,78,26,12,17
Suecia,UEFA,39,88,81,24,14,16
Noruega,UEFA,40,83,80,23,11,19
Irlanda,UEFA,41,71,85,18,12,22
Rumania,UEFA,42,79,83,20,13,19
